,Category,Segment,Year,Num_of_Units
0,Passenger Vehicles (PVs),Passenger Cars,2001-02,500301.0
1,Passenger Vehicles (PVs),Multi-Utility Vehicles,2001-02,169418.0
2,Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),2001-02,669719.0
3,Commercial Vehicles (CVs) M & HCVs,Passenger Carriers,2001-02,20283.0
4,Commercial Vehicles (CVs) M & HCVs,Goods Carriers,2001-02,76469.0
5,Commercial Vehicles (CVs) M & HCVs,Total M & HCVs,2001-02,96752.0
6,LCVs,Passenger Carriers,2001-02,14977.0
7,LCVs,Goods Carriers,2001-02,50779.0
8,LCVs,Total LCVs,2001-02,65756.0
9,Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),2001-02,162508.0
10,Three Wheelers,Passenger Carriers,2001-02,170013.0
11,Three Wheelers,Goods Carriers,2001-02,42735.0
12,Three Wheelers,Total Three Wheelers,2001-02,212748.0
13,Two wheelers,Scooter/Scooterettee,2001-02,937506.0
14,Two wheelers,Motorcycles/Step-Throughs,2001-02,2906323.0
15,Two wheelers,Mopeds,2001-02,427498.0
16,Two wheelers,Electric Two Wheelers,2001-02,
17,Two wheelers,Total Two wheelers,2001-02,4271327.0
18,Grand Total,Grand Total,2001-02,5316302.0
19,Passenger Vehicles (PVs),Passenger Cars,2002-03,557410.0
20,Passenger Vehicles (PVs),Multi-Utility Vehicles,2002-03,165920.0
21,Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),2002-03,723330.0
22,Commercial Vehicles (CVs) M & HCVs,Passenger Carriers,2002-03,21156.0
23,Commercial Vehicles (CVs) M & HCVs,Goods Carriers,2002-03,99346.0
24,Commercial Vehicles (CVs) M & HCVs,Total M & HCVs,2002-03,120502.0
25,LCVs,Passenger Carriers,2002-03,19821.0
26,LCVs,Goods Carriers,2002-03,63374.0
27,LCVs,Total LCVs,2002-03,83195.0
28,Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),2002-03,203697.0
29,Three Wheelers,Passenger Carriers,2002-03,210454.0
30,Three Wheelers,Goods Carriers,2002-03,66265.0
31,Three Wheelers,Total Three Wheelers,2002-03,276719.0
32,Two wheelers,Scooter/Scooterettee,2002-03,848434.0
33,Two wheelers,Motorcycles/Step-Throughs,2002-03,3876175.0
34,Two wheelers,Mopeds,2002-03,351612.0
35,Two wheelers,Electric Two Wheelers,2002-03,
36,Two wheelers,Total Two wheelers,2002-03,5076221.0
37,Grand Total,Grand Total,2002-03,6279967.0
38,Passenger Vehicles (PVs),Passenger Cars,2003-04,782562.0
39,Passenger Vehicles (PVs),Multi-Utility Vehicles,2003-04,206998.0
40,Passenger Vehicles (PVs),Total Passenger Vehicles (PVs),2003-04,989560.0
41,Commercial Vehicles (CVs) M & HCVs,Passenger Carriers,2003-04,27628.0
42,Commercial Vehicles (CVs) M & HCVs,Goods Carriers,2003-04,138495.0
43,Commercial Vehicles (CVs) M & HCVs,Total M & HCVs,2003-04,166123.0
44,LCVs,Passenger Carriers,2003-04,20962.0
45,LCVs,Goods Carriers,2003-04,87955.0
46,LCVs,Total LCVs,2003-04,108917.0
47,Total Commercial Vehicles (CVs),Total Commercial Vehicles (CVs),2003-04,275040.0
48,Three Wheelers,Passenger Carriers,2003-04,245084.0
49,Three Wheelers,Goods Carriers,2003-04,111139.0
50,Three Wheelers,Total Three Wheelers,2003-04,356223.0
51,Two wheelers,Scooter/Scooterettee,2003-04,935279.0
